run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,hit_rate,stale_hit_rate,false_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,git_sha,timestamp
ablation-w1-row6_gate_frecos_nosize_smallcache-seed0,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,0,eval,7560,106,7454,3,31,0,0.014021164021164021,0.02830188679245283,0.0,0.4047223233665166,25.6380061020386,140.2899571231793,118.96800866102375,306.7806409355943,460.81435287705307,7.128093988381267,0.0005277209094769898,44.5625,98.1,3e9c9d8,2026-07-25T21:49:56.500414+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed1,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,1,eval,7560,75,7485,1,32,0,0.00992063492063492,0.013333333333333334,0.0,0.1852163356780994,18.721925487437503,131.23979886491674,112.56653149016392,284.6723525628245,417.3304080435379,7.619639839811747,0.0006534436516828401,44.5625,90.4,3e9c9d8,2026-07-25T21:49:59.883854+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed2,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,2,eval,7560,101,7459,2,56,0,0.01335978835978836,0.019801980198019802,0.0,0.34766257848570287,24.626642340826375,146.22866909909274,125.55335308360071,317.0043501408305,466.6704492739789,6.838604263862539,0.0005800213917157313,44.6875,98.1,3e9c9d8,2026-07-25T21:50:02.887991+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed3,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,3,eval,7560,96,7464,4,42,0,0.012698412698412698,0.041666666666666664,0.0,0.3290534914625606,26.60222550604166,137.37779673315632,115.78128518022024,307.4428072110503,463.4905603905112,7.279196666273572,0.000659186790235927,44.6875,90.9,3e9c9d8,2026-07-25T21:50:06.251668+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed4,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,4,eval,7560,106,7454,0,39,0,0.014021164021164021,0.0,0.0,0.6213888536507203,40.791977544336554,144.01734855900213,122.8331024323036,311.03985055024447,485.10372261187604,6.943607905615012,0.0005696159985351312,39.140625,98.2,3e9c9d8,2026-07-25T21:50:09.284441+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed5,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,5,eval,7560,107,7453,7,65,0,0.014153439153439154,0.06542056074766354,0.0,0.46021560050643934,31.255152334024903,125.2574547710963,107.05273008555275,266.79259035279796,393.17112038944225,7.983556761770911,0.0005148200168232458,39.25,99.4,3e9c9d8,2026-07-25T21:50:12.167358+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed6,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,6,eval,7560,90,7470,2,31,0,0.011904761904761904,0.022222222222222223,0.0,0.4140375263103921,30.590756959881535,146.83533557150554,122.31911490682313,328.6958661738846,540.2234807072489,6.810349811970309,0.0005563744890476483,39.890625,98.4,3e9c9d8,2026-07-25T21:50:15.198044+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed7,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,7,eval,7560,103,7457,1,51,0,0.013624338624338624,0.009708737864077669,0.0,0.5289930405788581,31.510420063899222,119.0433029231415,102.01583049149833,254.3486782053653,361.3545761706425,8.400304556784977,0.001128756614182041,43.5,79.8,3e9c9d8,2026-07-25T21:50:19.226222+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed8,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,8,eval,7560,105,7455,3,48,0,0.013888888888888888,0.02857142857142857,0.0,0.2676416459823836,17.645115185383673,125.28691003177958,107.56487815001904,274.5401255505754,413.7422564695538,7.981679807941194,0.0005758892387218241,39.4375,98.1,3e9c9d8,2026-07-25T21:50:22.214772+00:00
ablation-w1-row6_gate_frecos_nosize_smallcache-seed9,w1,FRECOS_NOSIZE,True,learned,330,10,0.9,9,eval,7560,94,7466,1,21,0,0.012433862433862434,0.010638297872340425,0.0,0.4174355882078248,30.181028224477767,129.51967622068247,109.00330089025046,286.4031255711406,445.2704155732107,7.7208346189512325,0.0005350029015163374,39.609375,99.5,3e9c9d8,2026-07-25T21:50:25.171545+00:00
